summary,value,keywords
World War I,1914,"World,20th Century"
Russian Revolution,1917,"Russia,20th Century"
Great Depression,1929,"United States,20th Century"
Spanish Civil War,1936,"Spain,20th Century"
World War II,1939,"World,20th Century"
The Holocaust,1941,"Europe,20th Century"
Korean War,1950,"Korea,20th Century"
Civil Rights Movement started,1954,"United States,20th Century"
Vietnam War,1955,"Vietnam,20th Century"
Cuban Missile Crisis,1962,"United States,20th Century"
Chinese Cultural Revolution,1966,"China,20th Century"
The Moon Landing,1969,"United States,20th Century"
Chernobyl Disaster,1986,"Ukraine,20th Century"
Fall of the Berlin Wall,1989,"Germany,20th Century"
Fall of the Soviet Union,1991,"Russia,20th Century"
European Union Formation,1993,"Europe,20th Century"
Rwandan Genocide,1994,"Rwanda,20th Century"
9/11 Attacks,2001,"United States,21st Century"
Afghanistan War,2001,"Afghanistan,21st Century"
Arab Spring started,2010,"Middle East,21st Century"
Fukushima Nuclear Disaster,2011,"Japan,21st Century"
Syrian Civil War started,2011,"Syria,21st Century"
Black Lives Matter Movement started,2013,"United States,21st Century"
Russian Annexation of Crimea,2014,"Ukraine,21st Century"
Paris Agreement on Climate Change,2015,"World,21st Century"
Brexit,2016,"United Kingdom,21st Century"
COVID-19 Pandemic,2019,"World,21st Century"
Hong Kong Protests started,2019,"Hong Kong,21st Century"
US Capitol Attack,2021,"United States,21st Century"
