summary,value,description,keywords
India,1417173173,"1,417,173,173.00",World Population 2022
China,1425887337,"1,425,887,337.00",World Population 2022
United States,338289857,"338,289,857.00",World Population 2022
Indonesia,275501339,"275,501,339.00",World Population 2022
Pakistan,235824862,"235,824,862.00",World Population 2022
Nigeria,218541212,"218,541,212.00",World Population 2022
Brazil,215313498,"215,313,498.00",World Population 2022
Bangladesh,171186372,"171,186,372.00",World Population 2022
Russia,144713314,"144,713,314.00",World Population 2022
Mexico,127504125,"127,504,125.00",World Population 2022
Ethiopia,123379924,"123,379,924.00",World Population 2022
Japan,123951692,"123,951,692.00",World Population 2022
Philippines,115559009,"115,559,009.00",World Population 2022
Egypt,110990103,"110,990,103.00",World Population 2022
DR Congo,99010212,"99,010,212.00",World Population 2022
Vietnam,98186856,"98,186,856.00",World Population 2022
Iran,88550570,"88,550,570.00",World Population 2022
Turkey,85341241,"85,341,241.00",World Population 2022
Germany,83369843,"83,369,843.00",World Population 2022
Thailand,71697030,"71,697,030.00",World Population 2022
United Kingdom,67508936,"67,508,936.00",World Population 2022
Tanzania,65497748,"65,497,748.00",World Population 2022
France,64626628,"64,626,628.00",World Population 2022
South Africa,59893885,"59,893,885.00",World Population 2022
Italy,59037474,"59,037,474.00",World Population 2022
Kenya,54027487,"54,027,487.00",World Population 2022
Myanmar,54179306,"54,179,306.00",World Population 2022
Colombia,51874024,"51,874,024.00",World Population 2022
South Korea,51815810,"51,815,810.00",World Population 2022
Uganda,47249585,"47,249,585.00",World Population 2022
Sudan,46874204,"46,874,204.00",World Population 2022
Spain,47558630,"47,558,630.00",World Population 2022
Argentina,45510318,"45,510,318.00",World Population 2022
Algeria,44903225,"44,903,225.00",World Population 2022
Iraq,44496122,"44,496,122.00",World Population 2022
Afghanistan,41128771,"41,128,771.00",World Population 2022
Poland,39857145,"39,857,145.00",World Population 2022
Canada,38454327,"38,454,327.00",World Population 2022
Morocco,37457971,"37,457,971.00",World Population 2022
Saudi Arabia,36408820,"36,408,820.00",World Population 2022
Ukraine,39701739,"39,701,739.00",World Population 2022
Angola,35588987,"35,588,987.00",World Population 2022
Uzbekistan,34627652,"34,627,652.00",World Population 2022
Yemen,33696614,"33,696,614.00",World Population 2022
Peru,34049588,"34,049,588.00",World Population 2022
Malaysia,33938221,"33,938,221.00",World Population 2022
Ghana,33475870,"33,475,870.00",World Population 2022
Mozambique,32969518,"32,969,518.00",World Population 2022
Nepal,30547580,"30,547,580.00",World Population 2022
Madagascar,29611714,"29,611,714.00",World Population 2022
Ivory Coast,28160542,"28,160,542.00",World Population 2022
Venezuela,28301696,"28,301,696.00",World Population 2022
Cameroon,27914536,"27,914,536.00",World Population 2022
Niger,26207977,"26,207,977.00",World Population 2022
Australia,26177413,"26,177,413.00",World Population 2022
North Korea,26069416,"26,069,416.00",World Population 2022
Taiwan,23893394,"23,893,394.00",World Population 2022
Mali,22593590,"22,593,590.00",World Population 2022
Burkina Faso,22673762,"22,673,762.00",World Population 2022
Syria,22125249,"22,125,249.00",World Population 2022
Sri Lanka,21832143,"21,832,143.00",World Population 2022
Malawi,20405317,"20,405,317.00",World Population 2022
Zambia,20017675,"20,017,675.00",World Population 2022
Romania,19659267,"19,659,267.00",World Population 2022
