summary,value,keywords
Taejo era started,1392,"Joseon,History,King,Korea,14th Century"
Jeongjong era started,1398,"Joseon,History,King,Korea,14th Century"
Taejong era started,1400,"Joseon,History,King,Korea,15th Century"
Sejong the Great era started,1418,"Joseon,History,King,Korea,15th Century"
Munjong era started,1450,"Joseon,History,King,Korea,15th Century"
Danjong era started,1452,"Joseon,History,King,Korea,15th Century"
Sejo era started,1455,"Joseon,History,King,Korea, 15th Century"
Yeonsangun era started,1494,"Joseon,History,King,Korea ,15th Century"
Jungjong era started,1506,"Joseon,History,King,Korea ,16th Century"
Injong era started,1544,"Joseon,History,King,Korea ,16th Century"
Myeongjong era started,1545,"Joseon,History,King,Korea ,16th Century"
Seonjo era started,1567,"Joseon,History,King,Korea ,16th Century"
Gwanghaegun era started,1608,"Joseon,History,King,Korea ,17th Century"
Injo era started,1623,"Joseon,History,King,Korea,17th Century"
Hyojong era started,1649,"Joseon,History,King,Korea,17th Century"
Hyeonjong era started,1659,"Joseon,History,King,Korea,17th Century"
Sukjong era started,1674,"Joseon,History,King,Korea,17th Century"
Gyeongjong era started,1720,"Joseon,History,King,Korea,18th Century"
Yeongjo era started,1724,"Joseon,History,King,Korea,18th Century"
Jeongjo era started,1776,"Joseon,History,King,Korea,18th Century"
Sunjo era started,1800,"Joseon,History,King,Korea,19th Century"
Heonjong era started,1834,"Joseon,History,King,Korea,19th Century"
Cheoljong era started,1849,"Joseon,History,King,Korea,19th Century"
Gojong era started,1863,"Joseon,History,King,Korea,19th Century"
Sunjong era started,1907,"Joseon,History,King,Korea , 20th Century"
