summary,value,description,keywords
George Washington elected,1789,George Washington became the first President of the United States after being elected in 1789.,"US Presient,United States, 18th Century"
John Adams elected,1797,John Adams was elected as the second President of the United States in 1797.,"US Presient,United States, 18th Century"
Thomas Jefferson elected,1801,Thomas Jefferson was elected as the third President of the United States in 1801.,"US Presient,United States, 19th Century"
James Madison elected,1809,James Madison was elected as the fourth President of the United States in 1809.,"US Presient,United States, 19th Century"
James Monroe elected,1817,James Monroe was elected as the fifth President of the United States in 1817.,"US Presient,United States, 19th Century"
John Quincy Adams elected,1825,John Quincy Adams was elected as the sixth President of the United States in 1825.,"US Presient,United States, 19th Century"
Andrew Jackson elected,1829,Andrew Jackson was elected as the seventh President of the United States in 1829.,"US Presient,United States, 19th Century"
Martin Van Buren elected,1837,Martin Van Buren was elected as the eighth President of the United States in 1837.,"US Presient,United States, 19th Century"
William Henry Harrison elected,1841,William Henry Harrison was elected as the ninth President of the United States in 1841.,"US Presient,United States, 19th Century"
John Tyler succeeds Harrison,1841,John Tyler succeeded William Henry Harrison as the tenth President of the United States after Harrison's death in 1841.,"US Presient,United States, 19th Century"
James K. Polk elected,1845,James K. Polk was elected as the eleventh President of the United States in 1845.,"US Presient,United States, 19th Century"
Zachary Taylor elected,1849,Zachary Taylor was elected as the twelfth President of the United States in 1849.,"US Presient,United States, 19th Century"
Millard Fillmore succeeds Taylor,1850,Millard Fillmore succeeded Zachary Taylor as the thirteenth President of the United States after Taylor's death in 1850.,"US Presient,United States, 19th Century"
Franklin Pierce elected,1853,Franklin Pierce was elected as the fourteenth President of the United States in 1853.,"US Presient,United States, 19th Century"
James Buchanan elected,1857,James Buchanan was elected as the fifteenth President of the United States in 1857.,"US Presient,United States, 19th Century"
Abraham Lincoln elected,1861,Abraham Lincoln was elected as the sixteenth President of the United States in 1861.,"US Presient,United States, 19th Century"
Andrew Johnson succeeds Lincoln,1865,Andrew Johnson succeeded Abraham Lincoln as the seventeenth President of the United States after Lincoln's assassination in 1865.,"US Presient,United States, 19th Century"
